length_m,maxspeed_kmh,road_type,weather,is_peak_hour,congestion_prob,travel_time_min
1731.4722717056334,34.0,residential,clear,0,0.20230828775326143,5.1308306974762985
1731.4722717056334,34.0,residential,clear,1,0.34400469093905905,7.150456110091793
1731.4722717056334,34.0,residential,rain,0,0.5178353942662419,8.687483164545435
1731.4722717056334,34.0,residential,rain,1,0.7427487308327753,11.7868652709769
365.25068183587183,40.0,tertiary,clear,0,0.12750749114964327,0.6216037272470296
365.25068183587183,40.0,tertiary,clear,1,0.29498207596857656,1.196180345150351
365.25068183587183,40.0,tertiary,rain,0,0.36424575514941815,1.1659780343786257
365.25068183587183,40.0,tertiary,rain,1,0.6639815100447237,1.9684597923225402
1216.464236208991,35.0,residential,clear,0,0.1352704995265115,3.5127297889342772
1216.464236208991,35.0,residential,clear,1,0.42950887306845226,5.0323480371767095
1216.464236208991,35.0,residential,rain,0,0.5289310802932492,6.009334772048375
1216.464236208991,35.0,residential,rain,1,0.6544400826428788,7.610472905634929
1170.1524848036786,33.0,residential,clear,0,0.253154091553085,3.8076712466290408
1170.1524848036786,33.0,residential,clear,1,0.31483933494082367,4.76754968865929
1170.1524848036786,33.0,residential,rain,0,0.5355990986155935,6.1071029361103175
1170.1524848036786,33.0,residential,rain,1,0.7291405237239009,8.40248457210131
1898.052945539822,57.0,primary,clear,0,0.14579649463275213,3.1696977982723635
1898.052945539822,57.0,primary,clear,1,0.3205655003533366,4.126300249924637
1898.052945539822,57.0,primary,rain,0,0.49270474628047917,4.9004683994148515
1898.052945539822,57.0,primary,rain,1,0.6978731040497244,6.729103796730761
1061.1346550582537,29.0,service,clear,0,0.21273149379438777,3.870525080896068
1061.1346550582537,29.0,service,clear,1,0.3364637241042475,5.382612372548917
1061.1346550582537,29.0,service,rain,0,0.4127667163077804,5.940488240462921
1061.1346550582537,29.0,service,rain,1,0.6161602287055568,8.32792352262009
896.3897317327494,30.0,residential,clear,0,0.20170951108230406,3.080675814425618
896.3897317327494,30.0,residential,clear,1,0.3592289547387012,4.177965521065004
896.3897317327494,30.0,residential,rain,0,0.4427164515278581,5.022373291523312
896.3897317327494,30.0,residential,rain,1,0.703685661639455,6.938356392144985
1435.8741350226735,32.0,residential,clear,0,0.12738218371169555,4.562235406004126
1435.8741350226735,32.0,residential,clear,1,0.32614439900190856,6.279873139920113
1435.8741350226735,32.0,residential,rain,0,0.5583237361018553,7.842113553636829
1435.8741350226735,32.0,residential,rain,1,0.6891119590039434,10.34409681944555
644.9022331017936,53.0,primary,clear,0,0.19485630723036956,1.2536851950545236
644.9022331017936,53.0,primary,clear,1,0.29664769151425674,1.2382508531418663
644.9022331017936,53.0,primary,rain,0,0.4104724876894531,1.5587768197014453
